label,a,rx,ry,N,T_min,T_min_gap,gap_nm,has_gap,T_max,time_s,filename
a0.680_rx0.240_ry0.360_N16,0.68,0.24,0.36,16,0.43637596583044547,0.43637596583044547,160.5623518455809,True,0.546410892035504,1.8,2d_a0.680_rx0.240_ry0.360_N16.csv
a0.680_rx0.240_ry0.360_N20,0.68,0.24,0.36,20,0.37719197168602514,0.37719197168602514,142.29258569858735,True,1.2127741274102697,2.0,2d_a0.680_rx0.240_ry0.360_N20.csv
a0.680_rx0.240_ry0.400_N12,0.68,0.24,0.4,12,0.44190607188707676,0.44190607188707676,160.5623518455809,True,0.8208286472777895,1.5,2d_a0.680_rx0.240_ry0.400_N12.csv
a0.680_rx0.240_ry0.400_N16,0.68,0.24,0.4,16,0.438718946166927,0.438718946166927,160.5623518455809,True,0.6675278411844515,1.8,2d_a0.680_rx0.240_ry0.400_N16.csv
a0.680_rx0.240_ry0.400_N20,0.68,0.24,0.4,20,0.11636432538774406,0.11636432538774406,155.03836194659084,True,1.1242896502051711,2.0,2d_a0.680_rx0.240_ry0.400_N20.csv
a0.680_rx0.240_ry0.440_N12,0.68,0.24,0.44,12,0.31040584308796665,0.31040584308796665,160.5623518455809,True,0.533237632351139,1.5,2d_a0.680_rx0.240_ry0.440_N12.csv
a0.680_rx0.240_ry0.440_N16,0.68,0.24,0.44,16,0.2842764277194059,0.2842764277194059,160.5623518455809,True,0.6375089752046845,1.8,2d_a0.680_rx0.240_ry0.440_N16.csv
a0.680_rx0.240_ry0.440_N20,0.68,0.24,0.44,20,0.1270196998265045,0.1270196998265045,160.5623518455809,True,0.9726626715484676,2.0,2d_a0.680_rx0.240_ry0.440_N20.csv
a0.700_rx0.200_ry0.200_N12,0.7,0.2,0.2,12,0.2255045490639842,0.2255045490639842,160.5623518455809,True,1.6630583541286916,1.5,2d_a0.700_rx0.200_ry0.200_N12.csv
a0.700_rx0.200_ry0.200_N16,0.7,0.2,0.2,16,0.03543891364111109,0.03543891364111109,160.5623518455809,True,1.6264292471708048,1.8,2d_a0.700_rx0.200_ry0.200_N16.csv
a0.700_rx0.200_ry0.200_N20,0.7,0.2,0.2,20,0.039770770958829374,0.039770770958829374,130.9307171238704,True,31.54955138834478,2.0,2d_a0.700_rx0.200_ry0.200_N20.csv
a0.700_rx0.200_ry0.240_N12,0.7,0.2,0.24,12,0.2594757768536911,0.2594757768536911,160.5623518455809,True,1.0638053852320741,1.6,2d_a0.700_rx0.200_ry0.240_N12.csv
a0.700_rx0.200_ry0.240_N16,0.7,0.2,0.24,16,0.14703168061492033,0.14703168061492033,160.5623518455809,True,0.9441182611989575,1.8,2d_a0.700_rx0.200_ry0.240_N16.csv
a0.700_rx0.200_ry0.240_N20,0.7,0.2,0.24,20,0.054406255867481566,0.054406255867481566,134.50144493756443,True,20.210850231736195,2.0,2d_a0.700_rx0.200_ry0.240_N20.csv
a0.700_rx0.200_ry0.280_N12,0.7,0.2,0.28,12,0.3386506719030066,0.3386506719030066,160.5623518455809,True,0.9326565382769898,1.6,2d_a0.700_rx0.200_ry0.280_N12.csv
a0.700_rx0.200_ry0.280_N16,0.7,0.2,0.28,16,0.22983396536243775,0.22983396536243775,160.5623518455809,True,0.9381289652268431,1.8,2d_a0.700_rx0.200_ry0.280_N16.csv
a0.700_rx0.200_ry0.280_N20,0.7,0.2,0.28,20,0.10892482669199217,0.10892482669199217,134.50144493756443,True,16.517945199417802,2.0,2d_a0.700_rx0.200_ry0.280_N20.csv
a0.700_rx0.200_ry0.320_N12,0.7,0.2,0.32,12,0.4238732348965951,0.4238732348965951,160.5623518455809,True,0.556942425215486,1.6,2d_a0.700_rx0.200_ry0.320_N12.csv
a0.700_rx0.200_ry0.320_N16,0.7,0.2,0.32,16,0.37051764345964067,0.37051764345964067,160.5623518455809,True,0.5405529385388287,1.8,2d_a0.700_rx0.200_ry0.320_N16.csv
