wavelength_nm,transmission
1.543381825608290910e+03,1.642522732051636403e-01
1.543836436454507748e+03,1.644485747319484881e-01
1.544291315195437846e+03,1.646502555439162130e-01
1.544746462067949096e+03,1.648570281207233090e-01
1.545201877309190195e+03,1.650685991403027797e-01
1.545657561156588599e+03,1.652846697093652839e-01
1.546113513847852118e+03,1.655049356018335471e-01
1.546569735620969595e+03,1.657290875053344104e-01
1.547026226714210452e+03,1.659568112759452485e-01
1.547482987366125371e+03,1.661877882013865770e-01
1.547940017815547435e+03,1.664216952728513887e-01
1.548397318301590985e+03,1.666582054656163825e-01
1.548854889063654355e+03,1.668969880287151653e-01
1.549312730341417819e+03,1.671377087837770947e-01
1.549770842374845643e+03,1.673800304331895250e-01
1.550229225404185854e+03,1.676236128777560119e-01
1.550687879669970471e+03,1.678681135439034910e-01
1.551146805413017091e+03,1.681131877205520875e-01
1.551606002874427759e+03,1.683584889055854406e-01
1.552065472295590325e+03,1.686036691619891004e-01
1.552525213918178224e+03,1.688483794834596541e-01
1.552985227984152743e+03,1.690922701694131947e-01
1.553445514735760298e+03,1.693349912091145770e-01
1.553906074415535386e+03,1.695761926746804926e-01
1.554366907266300359e+03,1.698155251225117457e-01
1.554828013531165197e+03,1.700526400027952412e-01
1.555289393453529101e+03,1.702871900764576507e-01
1.555751047277079806e+03,1.705188298389770096e-01
1.556212975245794269e+03,1.707472159503849451e-01
1.556675177603939801e+03,1.709720076705612268e-01
1.557137654596073617e+03,1.711928672990744860e-01
1.557600406467043967e+03,1.714094606184736469e-01
1.558063433461990371e+03,1.716214573400776933e-01
1.558526735826343156e+03,1.718285315510620637e-01
1.558990313805825281e+03,1.720303621617438328e-01
1.559454167646452106e+03,1.722266333516446479e-01
1.559918297594531623e+03,1.724170350131398743e-01
1.560382703896665362e+03,1.726012631912485218e-01
1.560847386799748165e+03,1.727790205181219396e-01
1.561312346550970233e+03,1.729500166407784145e-01
1.561777583397815079e+03,1.731139686405735179e-01
1.562243097588062028e+03,1.732706014428962715e-01
1.562708889369785311e+03,1.734196482155636598e-01
1.563174958991355879e+03,1.735608507543824897e-01
1.563641306701440271e+03,1.736939598543774110e-01
1.564107932749002657e+03,1.738187356652138582e-01
1.564574837383303702e+03,1.739349480293506112e-01
1.565042020853902386e+03,1.740423768015753048e-01
1.565509483410655548e+03,1.741408121485176763e-01
1.565977225303718797e+03,1.742300548269924698e-01
1.566445246783546736e+03,1.743099164399026790e-01
1.566913548100893422e+03,1.743802196686930484e-01
1.567382129506813044e+03,1.744407984813509949e-01
1.567850991252659696e+03,1.744914983151367449e-01
1.568320133590088972e+03,1.745321762332646964e-01
1.568789556771057278e+03,1.745627010550055980e-01
1.569259261047822974e+03,1.745829534586630649e-01
1.569729246672946374e+03,1.745928260571946167e-01
1.570199513899291105e+03,1.745922234462581879e-01
1.570670062980023204e+03,1.745810622246394828e-01
1.571140894168612704e+03,1.745592709872999804e-01
1.571612007718833411e+03,1.745267902911705193e-01
1.572083403884763356e+03,1.744835725943039706e-01
1.572555082920786163e+03,1.744295821688210679e-01
1.573027045081590359e+03,1.743647949884936654e-01
1.573499290622170520e+03,1.742891985917695841e-01
1.573971819797827266e+03,1.742027919213068599e-01
1.574444632864168170e+03,1.741055851411110744e-01
1.574917730077108445e+03,1.739975994325582420e-01
1.575391111692870027e+03,1.738788667706713253e-01
1.575864777967984082e+03,1.737494296821206485e-01
1.576338729159289414e+03,1.736093409865140380e-01
1.576812965523934281e+03,1.734586635225616458e-01
1.577287487319377078e+03,1.732974698609215936e-01
1.577762294803385203e+03,1.731258420053509994e-01
1.578237388234037326e+03,1.729438710840386084e-01
1.578712767869722029e+03,1.727516570328805345e-01
1.579188433969140988e+03,1.725493082725303162e-01
1.579664386791306242e+03,1.723369413810265371e-01
1.580140626595542926e+03,1.721146807637982390e-01
1.580617153641488585e+03,1.718826583227684723e-01
1.581093968189094539e+03,1.716410131263072236e-01
1.581571070498625204e+03,1.713898910816415988e-01
1.582048460830659906e+03,1.711294446112898993e-01
1.582526139446092202e+03,1.708598323350445924e-01
1.583004106606131472e+03,1.705812187588150453e-01
1.583482362572301554e+03,1.702937739716923193e-01
1.583960907606443925e+03,1.699976733523275163e-01
1.584439741970715659e+03,1.696930972857096376e-01
1.584918865927591469e+03,1.693802308912091270e-01
1.585398279739863256e+03,1.690592637626928130e-01
1.585877983670641015e+03,1.687303897213157378e-01
1.586357977983353294e+03,1.683938065814858664e-01
1.586838262941748326e+03,1.680497159303133703e-01
1.587318838809892441e+03,1.676983229207891779e-01
1.587799705852173474e+03,1.673398360786861605e-01
1.588280864333299178e+03,1.669744671231318811e-01
1.588762314518297671e+03,1.666024308005648602e-01
1.589244056672519037e+03,1.662239447317617191e-01
1.589726091061635771e+03,1.658392292713936622e-01
1.590208417951641650e+03,1.654485073795272654e-01
1.590691037608854231e+03,1.650520045042851713e-01
